,name,location,department,deadline,link
0,Doktorand inom forskningsfältet Blå Mat,Stockholm,Skolan för arkitektur och samhällsbyggnad vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:409006/type:job/where:4/apply:1
1,Doktorand inom  matematisk analys och sannolikhetsteori,Stockholm,Skolan för teknikvetenskap vid KTH,2021-10-08,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:422613/type:job/where:4/apply:1
2,Doktorand inom rymdplasmafysik: jonosfärsfysik med sondraketmätningar,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-07,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:423241/type:job/where:4/apply:1
3,Doktorander (licentiat) inom Ergonomi,Stockholm,"Skolan för kemi, bioteknologi och hälsa vid KTH",2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:424218/type:job/where:4/apply:1
4,Doktorand inom molekylär programmering,Stockholm,"Skolan för kemi, bioteknologi och hälsa vid KTH",2021-10-28,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:424617/type:job/where:4/apply:1
5,Doktorand inom flödesbatterier för stationär energilagring,Stockholm,"Skolan för kemi, bioteknologi och hälsa vid KTH",2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:424985/type:job/where:4/apply:1
6,Doktorander inom maskininlärning och beräkningsneurovetenskap,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:425351/type:job/where:4/apply:1
7,Doktorand (licentiat) inom byggnadsteknik,Stockholm,Skolan för arkitektur och samhällsbyggnad vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426078/type:job/where:4/apply:1
8,Doktorand (licentiat) inom brobyggnad,Stockholm,Skolan för arkitektur och samhällsbyggnad vid KTH,2021-10-07,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426086/type:job/where:4/apply:1
9,Doktorand (licentiat) inom mikromobilitet,Stockholm,Skolan för arkitektur och samhällsbyggnad vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426097/type:job/where:4/apply:1
10,Doktorand inom funktionaliserad nanocellulosa för vattenburen NIPU,Stockholm,"Skolan för kemi, bioteknologi och hälsa vid KTH",2021-10-14,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426104/type:job/where:4/apply:1
11,Doktorand (licentiat) inom jord- och bergmekanik (pålning),Stockholm,Skolan för arkitektur och samhällsbyggnad vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426105/type:job/where:4/apply:1
12,Doktorander inom Naturlig språkbehandling / Maskininlärning,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426117/type:job/where:4/apply:1
13,Doktorand inom stark implosion av stötvågor,Stockholm,Skolan för teknikvetenskap vid KTH,2021-10-15,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426289/type:job/where:4/apply:1
14,Doktorand inom strömningsmekanik och multifunktionella ytor,Stockholm,Skolan för teknikvetenskap vid KTH,2021-09-30,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426320/type:job/where:4/apply:1
15,Doktorand inom kvantfotonik,Stockholm,Skolan för teknikvetenskap vid KTH,2021-10-15,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426519/type:job/where:4/apply:1
16,Doktorand inom maskininlärning av realtidssystem,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-01,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:426873/type:job/where:4/apply:1
17,Doktorand inom informationsteori för stokastiska beslutsproblem,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-07,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427023/type:job/where:4/apply:1
18,Doktorand inom maskininlärning för smarta elnät,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-07,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427050/type:job/where:4/apply:1
19,Doktorand i multimodal maskininlärning för människa-robot interaktion,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-15,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427059/type:job/where:4/apply:1
20,Doktorand inom pålitliga lärande cyber-fysiska system,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-11,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427379/type:job/where:4/apply:1
21,Doktorand inom djupinlärning med vision transformers,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-10-04,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427503/type:job/where:4/apply:1
22,Doktorand inom algoritmer och arkitekturer för skalbar maskininlärning,Stockholm,Skolan för elektroteknik och datavetenskap vid KTH,2021-09-29,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:427709/type:job/where:4/apply:1
23,Doktorand inom medicinsk bildvetenskap,Stockholm,Skolan för teknikvetenskap vid KTH,2021-09-29,https://www.kth.se/om/work-at-kth/lediga-jobb/what:job/jobID:429483/type:job/where:4/apply:1
